position,overall,name,nation,club,age
CAM,54,Liam Möller,Finland,HJK Helsinki,18
CAM,65,Lilian Egloff,Germany,VfB Stuttgart,21
CAM,75,Lincoln,Brazil,Fenerbahçe,24
CAM,62,Lisandru Tramoni,France,Pisa,20
CAM,52,Liu Chaoyang,China PR,Qingdao Hainiu,24
CAM,83,Lorenzo Pellegrini,Italy,Roma FC,27
CAM,65,Louie Sibley,England,Derby County,22
CAM,62,Louie Watson,Republic of Ireland,Charlton Ath,22
CAM,72,Louis Schaub,Austria,Hannover 96,28
CAM,72,Luca Garritano,Italy,Frosinone,29
CAM,71,Luca Tremolada,Italy,Modena,31
CAM,71,Lucas Da Cunha,France,Como,22
CAM,58,Lucas Kåhed,Sweden,IFK Göteborg,21
CAM,81,Lucas Paquetá,Brazil,West Ham,26
CAM,71,Lucas Villafañez,Argentina,Apoel FC,32
CAM,59,Lucas Wolf,Germany,Holstein Kiel,22
CAM,79,Lucas Zelarayán,Armenia,Al Fateh,31
CAM,77,Luciano Acosta,Argentina,FC Cincinnati,29
CAM,78,Ludovic Blas,France,Stade Rennais FC,25
CAM,62,Luis Ortíz,Paraguay,S. Ameliano,23
CAM,63,Luís Phelipe,Brazil,Politehnica Iași,22
CAM,62,Luis Sequeira,Argentina,Talleres,20
CAM,66,Luka Ilić,Serbia,ESTAC Troyes,24
CAM,76,Luka Ivanušec,Croatia,Feyenoord,24
CAM,74,Luka Sučić,Croatia,RB Salzburg,21
CAM,67,Luka Zahović,Slovenia,Pogoń Szczecin,27
CAM,60,Lukáš Ambros,Czech Republic,SC Freiburg II,19
CAM,67,Lukas Schleimer,Germany,1. FC Nürnberg,23
CAM,62,Łukasz Wolsztyński,Poland,Stal Mielec,28
CAM,61,Luke Harris,Wales,Fulham,18
CAM,63,Luke Thomas,England,Bristol Rovers,24
CAM,72,Luquinha,Brazil,Portimonense SC,23
CAM,64,Lyall Cameron,Scotland,Dundee FC,20
CAM,63,Maciej Żurawski,Poland,Warta Poznań,22
CAM,67,Mads Frøkjær-Jensen,Denmark,Preston,24
CAM,68,Maghnes Akliouche,France,AS Monaco,21
CAM,67,Magnus Mattsson,Denmark,N.E.C. Nijmegen,24
CAM,67,Magnus Retsius Grødem,Norway,Molde FK,25
CAM,74,Magnus Wolff Eikrem,Norway,Molde FK,33
CAM,74,Malik Tillman,United States,PSV,21
CAM,62,Mamadi Camará,Guinea-Bissau,Reading,19
CAM,64,Manfred Starke,Namibia,1860 München,32
CAM,76,Manuel Lanzini,Argentina,River Plate,30
CAM,61,Manuel Liendo,Argentina,Instituto,24
CAM,65,Manuel Marras,Italy,Cosenza,30
CAM,67,Manuel Monzeglio,Uruguay,Nacional,22
CAM,52,Marcel Campbell,England,AFC Wimbledon,19
CAM,62,Marcel Wenig,Germany,Frankfurt,19
CAM,62,Marcel Zylla,Poland,Śląsk Wrocław,23
CAM,65,Marco Bustos,Canada,IFK Värnamo,27
CAM,73,Marco Mancosu,Italy,Cagliari,35
CAM,83,Marco Reus,Germany,Borussia Dortmund,34
CAM,57,Marco Rus,Romania,Coventry City,20
CAM,56,Marco Wörner,Germany,SC Freiburg II,19
CAM,63,Marcos Benítez,Argentina,Barracas Central,22
CAM,63,Marek Mróz,Poland,Zagłębie Lubin,24
CAM,59,Marian Danciu,Romania,Univ. Craiova,21
CAM,82,Mario Götze,Germany,Frankfurt,31
CAM,80,Mario Pašalić,Croatia,Bergamo Calcio,28
CAM,70,Mario Soriano,Spain,SD Eibar,21
CAM,55,Mark Byrne,Republic of Ireland,Sligo Rovers,23
CAM,63,Mark Helm,England,Burton Albion,21
CAM,75,Mark Uth,Germany,1. FC Köln,32
CAM,71,Marquinhos,Brazil,Ferencvárosi TC,23
CAM,87,Martin Ødegaard,Norway,Arsenal,24
CAM,73,Marvin Mehlem,Germany,SV Darmstadt 98,26
CAM,81,Mason Mount,England,Manchester Utd,24
CAM,69,Massimo Bruno,Belgium,KV Kortrijk,30
CAM,65,Mathias Gehrt,Denmark,Hvidovre IF,31
CAM,67,Mathias Rasmussen,Norway,R. Union St.-G.,25
CAM,59,Matías Ferreira,Uruguay,Peñarol,20
CAM,67,Matías Palacios,Argentina,Al Ain FC,21
CAM,70,Mats Møller Dæhli,Norway,1. FC Nürnberg,28
CAM,63,Matt Jay,England,Colchester,27
CAM,70,Matteo Di Giusto,Switzerland,FC Winterthur,23
CAM,78,Matteo Pessina,Italy,Monza,26
CAM,70,Mattheus Oliveira,Brazil,Farense,29
CAM,58,Matthew Meier,Germany,Hallescher FC,19
CAM,53,Matthew O'Brien,Republic of Ireland,Drogheda United,20
CAM,66,Matthias Seidl,Austria,SK Rapid Wien,22
CAM,72,Mattia Aramu,Italy,Bari,28
CAM,69,Mattia Bottani,Switzerland,FC Lugano,32
CAM,60,Mattia Felici,Italy,Feralpisalò,22
CAM,70,Matúš Bero,Slovakia,VfL Bochum,28
CAM,73,Mauricio Pereyra,Uruguay,Orlando City,33
CAM,64,Max,Brazil,Colorado Rapids,22
CAM,60,Max Brandt,Germany,SSV Ulm 1846,22
CAM,66,Max Burgess,Australia,Sydney FC,28
CAM,74,Max Meyer,Germany,FC Luzern,28
CAM,60,Max Sheaf,England,Ross County,23
CAM,56,Max Woltman,England,Oxford United,20
CAM,75,Maxi Moralez,Argentina,New York City FC,36
CAM,65,Maxime Dominguez,Switzerland,Gil Vicente,27
CAM,70,Maximiliano Cantera,Uruguay,Atl. Nacional,30
CAM,59,Mehmet Ibrahimi,Germany,Blau-Weiss Linz,20
CAM,65,Mergim Qarri,Switzerland,Stade-Lausanne,28
CAM,63,Meritan Shabani,Germany,Grasshopper Club,24
CAM,60,Mert Kömür,Germany,FC Augsburg,18
CAM,56,Mert Yusuf Torlak,Turkey,Alanyaspor,21
CAM,66,Michael Baidoo,Ghana,IF Elfsborg,24
CAM,65,Michael Eberwein,Germany,B. Dortmund II,27
CAM,65,Michael Ortega,Colombia,The Strongest,32
CAM,65,Michał Chrapek,Poland,Piast Gliwice,31
CAM,70,Michal Ševčík,Czech Republic,Sparta Praha,21
CAM,71,Michel Vlap,Holland,FC Twente,26
CAM,58,Miguel Angel Villarroel,Bolivia,Bolívar,20
CAM,69,Miguel Monsalve,Colombia,Indep. Medellín,19
CAM,76,Mikkel Damsgaard,Denmark,Brentford,23
CAM,58,Miloš Ćoćić,Serbia,1860 München,20
CAM,66,Miloš Ninković,Serbia,WS Wanderers,38
CAM,70,Miloš Pantović,Serbia,KAS Eupen,27
CAM,54,Miłosz Kurowski,Poland,Śląsk Wrocław,19
CAM,52,Miłosz Strzeboński,Poland,Korona Kielce,19
CAM,69,Mirko Antonucci,Italy,Spezia,24
CAM,71,Mohamed Ali Ben Romdhane,Tunisia,Ferencvárosi TC,24
CAM,67,Mohamed El Arouch,France,OL,19
CAM,56,Mohamed Oukhattou,Holland,PEC Zwolle,18
CAM,74,Moisés,Brazil,Shandong Taishan,35
CAM,77,Morgan Gibbs-White,England,Nott'm Forest,23
CAM,52,Morgan Williams,Wales,AFC Wimbledon,18
CAM,60,Moritz Wels,Austria,FK Austria Wien,19
CAM,71,Muhammed Cham,Austria,Clermont Foot 63,23
CAM,64,Muhammed Damar,Germany,Hannover 96,19
CAM,53,Muhammed Nemil,India,FC Goa,21
CAM,81,Muniain,Spain,Athletic Club,30
CAM,66,Naatan Skyttä,Finland,Toulouse FC,21
CAM,83,Nabil Fekir,France,Real Betis,30
CAM,77,Nadiem Amiri,Germany,Leverkusen,26
CAM,70,Nahir Besara,Sweden,Hammarby IF,32
CAM,52,Nasser Al Bishi,Saudi Arabia,Al Shabab,21
CAM,65,Nassim Boujellab,Morocco,Arminia Bielefeld,24
CAM,63,Nathan Garcia,Switzerland,Stade-Lausanne,23
CAM,52,Nawaf Al Rashoudi,Saudi Arabia,Al Taawoun,23
CAM,74,Nedim Bajrami,Albania,Sassuolo,24
CAM,63,Néstor Albiach,Spain,NorthEast United,31
CAM,69,Nick Bätzner,Germany,Wehen Wiesbaden,23
CAM,70,Nick Powell,England,Stockport,29
CAM,62,Niclas Anspach,Germany,Jahn Regensburg,23
CAM,64,Niclas Nadj,Germany,SC Paderborn 07,22
CAM,74,Nico Melamed,Spain,RCD Espanyol,22
CAM,69,Nicolás Castro,Argentina,Elche CF,22
CAM,62,Nicolás Claudio Barrientos,Argentina,Instituto,28
CAM,51,Nicolas Firmino,Brazil,Atlanta United,22
CAM,76,Nicolás Lodeiro,Uruguay,Sounders FC,34
CAM,60,Nicolas Milanovic,Australia,WS Wanderers,21
CAM,64,Nicolás Sessa,Germany,SC Verl,27
CAM,68,Nicolás Stefanelli,Argentina,Inter Miami CF,28
CAM,59,Niklas Ødegård,Norway,Molde FK,19
CAM,71,Niklas Schmidt,Germany,Toulouse FC,25
CAM,56,Niko Tsakiris,United States,SJ Earthquakes,18
CAM,61,Nils Reichmuth,Switzerland,FC Zürich,21
CAM,65,Nilson Angulo,Ecuador,RSC Anderlecht,20
CAM,64,Noah Chilvers,England,Colchester,22
CAM,61,Noah Naujoks,Holland,Excelsior,21
CAM,68,Noguera,Spain,Mumbai City FC,34
CAM,53,Noureddine El Bahhar,Egypt,Al Ittihad,19
CAM,56,Nouri El Harmazi,Holland,RKC Waalwijk,21
CAM,66,Odysseus Velanas,Holland,PEC Zwolle,25
CAM,63,Oleg Ocheretko,Ukraine,Shakhtar Donetsk,20
CAM,67,Oliver Antman,Finland,FC Nordsjælland,22
CAM,63,Oliver Batista Meier,Germany,SC Verl,22
CAM,65,Oliver Bozanic,Australia,Perth Glory,34
CAM,63,Oliver Wähling,Germany,VfL Osnabrück,24
CAM,57,Ollie O'Neill,Republic of Ireland,Fulham,20
CAM,60,Omar El Sawy,Romania,FC Rapid 1923,19
CAM,64,Omari Hutchinson,Jamaica,Ipswich,19
CAM,62,Ömer Beyaz,Turkey,Hatayspor,20
CAM,64,Omir Fernandez,United States,Red Bulls,24
CAM,77,Orbelín Pineda,Mexico,AEK Athens,27
CAM,62,Oscar Schwartau,Denmark,Brøndby IF,17
CAM,78,Óscar Trejo,Argentina,Rayo Vallecano,35
CAM,50,Oskar Leśniak,Poland,Piast Gliwice,19
CAM,71,Otar Kiteishvili,Georgia,SK Sturm Graz,27
CAM,67,Pablo Aránguiz,Chile,Ñublense,26
CAM,74,Pablo De Blasis,Argentina,Gimnasia,35
CAM,66,Pablo Gozálbez,Spain,Valencia CF,22
CAM,70,Pablo López,Uruguay,River Plate,27
CAM,63,Pablo Marín,Spain,Real Sociedad,20
CAM,72,Pablo Parra,Chile,Colo-Colo,29
CAM,70,Pablo Torre,Spain,Girona FC,20
CAM,62,Pacheco,Spain,Albacete BP,21
CAM,69,Pál Dárdai,Hungary,Hertha Berlin,24
CAM,67,Patrick Greil,Austria,SK Rapid Wien,27
CAM,64,Patrick McEleney,Republic of Ireland,Derry City,31
CAM,65,Patrik Karlsson Lagemyr,Sweden,IK Sirius,26
CAM,65,Patrik Mercado,Ecuador,Independiente DV,20
CAM,59,Paul Lewis,England,Tranmere Rovers,28
CAM,69,Paul Nebel,Germany,Karlsruher SC,20
CAM,63,Paul Stock,Germany,SV Elversberg,26
CAM,63,Paul Wanner,Germany,SV Elversberg,17
CAM,69,Pavel Šulc,Czech Republic,Viktoria Plzeň,22
CAM,66,Paxten Aaronson,United States,Frankfurt,20
CAM,59,Pedro Alemañ,Spain,Sparta Rotterdam,20
CAM,57,Pedro Borges,Portugal,Exeter City,18
CAM,68,Pelle van Amersfoort,Holland,sc Heerenveen,27
CAM,76,Petros Mantalos,Greece,AEK Athens,32
CAM,74,Philip Zinckernagel,Denmark,Club Brugge,28
CAM,73,Philipp Förster,Germany,VfL Bochum,28
CAM,70,Philipp Klement,Germany,Kaiserslautern,31
CAM,71,Piero Quispe,Peru,Universitario,22
CAM,62,Quinn Sullivan,United States,Philadelphia,19
CAM,68,Rafael Bustamante,Colombia,FC Vizela,24
CAM,68,Rafał Wolski,Poland,Radomiak Radom,30
CAM,67,Rafinha,Brazil,Blooming,31
CAM,58,Rafiq Khaleel,Morocco,Crawley Town,20
CAM,58,Rakan Al Shamlan,Saudi Arabia,Al Tai,25
CAM,65,Rami Al Hajj,Sweden,Odense BK,22
CAM,55,Rami Zouaoui,Tunisia,Braunschweig,19
CAM,68,Ramiro Vaca,Bolivia,Bolívar,24
CAM,67,Ramon Pascal Lundqvist,Sweden,Sarpsborg 08,26
CAM,69,Randall Leal,Costa Rica,Nashville SC,26
CAM,62,Randy Schneider,Switzerland,FC Winterthur,22
CAM,68,Raphael Holzhauser,Austria,OH Leuven,30
CAM,66,Ravel Morrison,Jamaica,D.C. United,30
CAM,50,Ravi Rana,India,ATK Mohun Bagan,20
CAM,75,Rayan Cherki,France,OL,20
CAM,79,Rémy Cabella,France,LOSC Lille,33
CAM,64,Rezan Corlu,Denmark,Lyngby BK,26
CAM,63,Ricard Artero,Spain,Girona FC,20
CAM,61,Ricardo Alves,Switzerland,Yverdon Sport FC,21
CAM,69,Ricardo Centurión,Argentina,Barracas Central,30
CAM,57,Ricardo Gonçalves,Poland,ŁKS Łódź,19
CAM,82,Ricardo Horta,Portugal,SC Braga,29
CAM,67,Richard Ledezma,United States,New York City FC,23
CAM,59,Riyadh Al Ibrahim,Saudi Arabia,Al Khaleej,29
CAM,57,Rob Apter,Scotland,Tranmere Rovers,20
CAM,62,Robbie Benson,Republic of Ireland,Dundalk,31
CAM,61,Robbie Gotts,England,Barrow,23
CAM,63,Robert Ion,Romania,Politehnica Iași,23
CAM,74,Robert Žulj,Austria,LASK,31
CAM,69,Rodolfo Pizarro,Mexico,AEK Athens,29
CAM,63,Rodrigo Bassani,Brazil,Suwon Samsung,25
CAM,77,Rodrigo Garro,Argentina,Talleres,25
CAM,64,Rodrigo Henrique,Brazil,Meizhou Hakka,30
CAM,58,Romain Esse,England,Millwall,18
CAM,71,Roman Květ,Czech Republic,Sivasspor,25
CAM,73,Romano Schmid,Austria,SV Werder Bremen,23
CAM,72,Romulo Otero,Venezuela,Aucas,30
CAM,64,Ronald Quinteros,Peru,UCV,38
CAM,74,Ross Barkley,England,Luton Town,29
CAM,60,Ross Tierney,Republic of Ireland,Walsall,22
CAM,72,Rubén Botta,Argentina,Colón,33
CAM,64,Rúben Rodrigues,Portugal,Oxford United,27
CAM,65,Rubin Colwill,Wales,Cardiff City,21
CAM,58,Runar Norheim,Norway,Tromsø IL,18
CAM,61,Ryan Duncan,Scotland,Aberdeen,19
CAM,62,Ryan Trevitt,England,Exeter City,20
CAM,74,Saad Bguir,Tunisia,Abha Club,29
CAM,64,Saku Ylätupa,Finland,Kalmar FF,24
CAM,54,Saliou Thioune,Italy,Yverdon Sport FC,19
CAM,54,Sam Durrant,England,Dundalk,21
CAM,69,Sam Greenwood,England,Middlesbrough,21
CAM,60,Samed Onur,Turkey,Karagümrük SK,21
CAM,68,Sami Al Najai,Saudi Arabia,Al Nassr,26
CAM,69,Sammie Szmodics,Republic of Ireland,Blackburn Rovers,28
CAM,74,Samu Sáiz,Spain,Sivasspor,32
CAM,63,Samuele Campo,Switzerland,FC Luzern,28
CAM,81,Sancet,Spain,Athletic Club,23
CAM,67,Sandi Ogrinec,Slovenia,WSG Tirol,25
CAM,72,Santiago Rodríguez,Uruguay,New York City FC,23
CAM,69,Santiago Toloza,Argentina,Independiente,20
CAM,68,Sarpreet Singh,New Zealand,Hansa Rostock,24
CAM,71,Sascha Horvath,Austria,LASK,27
CAM,71,Scott Twine,England,Hull City,24
CAM,51,Sean McAteer,Republic of Ireland,Sligo Rovers,19
CAM,73,Sebastián Blanco,Argentina,Portland Timbers,35
CAM,78,Sebastián Driussi,Argentina,Austin FC,27
CAM,66,Sebastian Klaas,Germany,SC Paderborn 07,25
CAM,68,Sebastian Kowalczyk,Poland,Houston Dynamo,25
CAM,63,Sebastian Maier,Germany,Unterhaching,30
CAM,77,Sebastian Szymański,Poland,Fenerbahçe,24
CAM,75,Selim Amallah,Morocco,Valencia CF,26
CAM,70,Sem Steijn,Holland,FC Twente,21
CAM,67,Sergio Quiroga,Argentina,Sarmiento,29
CAM,67,Sergiy Buletsa,Ukraine,Zagłębie Lubin,24
CAM,63,Sherif Kallaku,Albania,Sepsi OSK,25
CAM,67,Shinji Okazaki,Japan,STVV,37
CAM,72,Shinta Appelkamp,Germany,Düsseldorf,22
CAM,62,Shola Shoretire,England,Manchester Utd,19
CAM,67,Simone Pafundi,Italy,Udinese,17
CAM,71,Sofiane Bendebka,Algeria,Al Fateh,31
CAM,63,Sondre Liseth,Norway,FK Haugesund,26
CAM,65,Sone Aluko,Nigeria,Ipswich,34
CAM,63,Sonny Carey,England,Blackpool,22
CAM,61,Sonny Perkins,England,Oxford United,19
CAM,67,Ștefan Baiaram,Romania,Univ. Craiova,20
CAM,60,Stefan Korsch,Germany,1. FC Magdeburg,24
CAM,64,Ștefan Pănoiu,Romania,FC Rapid 1923,21
CAM,64,Stefano Surdanović,Serbia,SC Austria,24
CAM,81,Steven Berghuis,Holland,Ajax,31
CAM,68,Svante Ingelsson,Sweden,Hansa Rostock,25
CAM,72,Sven Mijnans,Holland,AZ,23
CAM,75,Taison,Brazil,PAOK FC,35
CAM,61,Takuhiro Nakai,Japan,Real Madrid,19
CAM,68,Taylan Duman,Germany,1. FC Nürnberg,26
CAM,66,Taylor Richards,England,QPR,22
CAM,80,Téji Savanier,France,Montpellier,31
CAM,64,Thelo Aasgaard,Norway,Wigan Athletic,21
CAM,55,Theo Chapman,England,Barnsley,18
CAM,79,Thiago Almada,Argentina,Atlanta United,22
CAM,64,Thiago Fernández,Argentina,Vélez Sarsfield,19
CAM,66,Thierno Ballo,Austria,Wolfsberger AC,21
CAM,84,Thomas Müller,Germany,FC Bayern München,34
CAM,67,Tibor Halilović,Croatia,Dinamo Zagreb,28
CAM,63,Tihomir Kostadinov,North Macedonia,Piast Gliwice,27
CAM,56,Timothy Noor Ouma,Kenya,IF Elfsborg,19
CAM,62,Timur Gayret,Germany,Hallescher FC,25
CAM,62,Tino Blaž Lauš,Croatia,Hajduk Split,22
CAM,75,Todd Cantwell,England,Rangers,25
CAM,72,Tokmac Chol Nguen,Norway,Ferencvárosi TC,29
CAM,66,Tom Bayliss,England,Shrewsbury,24
CAM,66,Tom Bischof,Germany,TSG Hoffenheim,18
CAM,73,Tom Lawrence,Wales,Rangers,29
CAM,64,Tomás Castro Ponce,Argentina,Atlético Tucumán,22
CAM,66,Tomás Galván,Argentina,Colón,23
CAM,62,Tomás Sives,Argentina,Arsenal,19
CAM,63,Tomasz Foszmańczyk,Poland,Ruch Chorzów,37
CAM,63,Tomasz Pieńko,Poland,Zagłębie Lubin,19
CAM,71,Tomi Horvat,Slovenia,SK Sturm Graz,24
CAM,77,Tommaso Baldanzi,Italy,Empoli,20
CAM,61,Tommy Chamba,Ecuador,CS Emelec,18
CAM,66,Tonio Teklić,Croatia,Trabzonspor,24
CAM,64,Tunay Deniz,Germany,Hallescher FC,29
CAM,68,Tyler Roberts,Wales,Birmingham City,24
CAM,70,Ulises Dávila,Mexico,Macarthur FC,32
CAM,61,Ulrick Eneme-Ella,Gabon,Angers SCO,22
CAM,64,Umut Tohumcu,Germany,TSG Hoffenheim,19
CAM,64,Uran Bislimi,Kosovo,FC Lugano,24
CAM,67,Vahan Bichakhchyan,Armenia,Pogoń Szczecin,24
CAM,56,Valentin Borcea,Romania,FC Dinamo 1948,21
CAM,67,Valentín Burgoa,Argentina,Huracán,23
CAM,60,Valentín Carboni,Argentina,Monza,18
CAM,66,Valentin Jacob,France,AC Ajaccio,29
CAM,63,Valentín Sánchez,Argentina,Huracán,21
CAM,60,Vaughn Covil,United States,Hull City,20
CAM,65,Vicente Besuijen,Holland,Aberdeen,22
CAM,70,Vicente Taborda,Argentina,Boca Juniors,22
CAM,75,Víctor Ignacio Malcorra,Argentina,Rosario Central,36
CAM,65,Victor Torp,Denmark,Sarpsborg 08,24
CAM,66,Víctor Vázquez,Spain,Toronto FC,36
CAM,75,Vina,Brazil,Al Hazem,32
CAM,67,Vito Hammershøy-Mistrati,Denmark,IFK Norrköping,31
CAM,58,Vladislav Cherny,Russia,Arminia Bielefeld,20
CAM,66,Walter Araujo,Paraguay,Metropolitanos,28
CAM,53,Wang Chu,China PR,Rongcheng FC,32
CAM,60,Wang Qiuming,China PR,Tianjin JMT FC,30
CAM,64,Will Patching,England,Derry City,24
CAM,70,William Balikwisha,Congo DR,Standard Liège,24
CAM,68,William Mendieta,Paraguay,Libertad,34
CAM,66,Williams Lugo,Venezuela,Puerto Cabello,26
CAM,68,Willum Þór Willumsson,Iceland,Go Ahead Eagles,24
CAM,79,Xavi Simons,Holland,RB Leipzig,20
CAM,72,Xavier Mercier,France,RWD Molenbeek,34
CAM,75,Xherdan Shaqiri,Switzerland,Chicago Fire FC,31
CAM,73,Yacine Adli,France,Milan,23
CAM,67,Yan Dhanda,England,Ross County,24
CAM,57,Yann Sturm,Germany,SC Freiburg II,18
CAM,63,Yari Otto,Germany,SC Verl,24
CAM,73,Yari Verschaeren,Belgium,RSC Anderlecht,22
CAM,66,Yáser Asprilla,Colombia,Watford,19
CAM,74,Yassine Benrahou,Morocco,Hajduk Split,24
CAM,63,Yassine Bouchama,Germany,Preußen Münster,26
CAM,60,Yassine Haouari,France,Valenciennes FC,20
CAM,70,Yeison Guzmán,Colombia,Deportes Tolima,25
CAM,59,Yeray,Spain,R. Racing Club,20
CAM,50,Yoon Min Ho,Korea Republic,Pohang Steelers,23
CAM,75,Younès Belhanda,Morocco,Adana Demirspor,33
CAM,68,Younes Namli,Denmark,PEC Zwolle,29
CAM,67,Youssef Challouk,Belgium,KV Kortrijk,28
CAM,71,Youssef Maziz,France,OH Leuven,25
CAM,70,Yunus Mallı,Turkey,Konyaspor,31
CAM,67,Yuriel Celi,Peru,Universitario,21
CAM,63,Zach Clough,England,Adelaide United,28
CAM,58,Zak Gilsenan,Republic of Ireland,Blackburn Rovers,20
CAM,72,Zakaria Labyad,Morocco,FC Utrecht,30
CAM,56,Zech Obiero,England,Leyton Orient,18
CAM,74,Zian Flemming,Holland,Millwall,25
CAM,67,Zinédine Machach,France,Melb. Victory,27
CAM,56,Zoran Mitrov,Romania,FC Petrolul,21
CB,65,Aapo Halme,Finland,HJK Helsinki,25
CB,63,Aaron Calver,Australia,GwangJu FC,27
CB,57,Aaron Gurd,Australia,Sydney FC,22
CB,65,Aaron Hayden,England,Wrexham AFC,26
CB,71,Aaron Long,United States,LAFC,30
CB,62,Aaron Manu,Germany,Rot-Weiss Essen,23
CB,54,Aaron Pickles,England,Accrington,18
CB,66,Aarón Quirós,Argentina,Banfield,21
CB,70,Abakar Sylla,Côte d'Ivoire,Strasbourg,20
CB,70,Abdelkabir Abqar,Morocco,D. Alavés,24
CB,70,Abdelkader Bedrane,Algeria,Damac FC,31
CB,64,Abdoulaye Bakayoko,Côte d'Ivoire,AS Saint-Étienne,20
CB,61,Abdoulaye Cissoko,France,Sounders FC,23
CB,65,Abdoulaye Diaby,Mali,FC St. Gallen,23
CB,67,Abdoulaye Ndiaye,Senegal,ESTAC Troyes,21
CB,64,Abdourahmane Barry,France,Amiens SC,23
CB,66,Abdukodir Khusanov,Uzbekistan,RC Lens,19
CB,70,Abdul Mumin,Ghana,Rayo Vallecano,25
CB,61,Abdulbasit Hindi,Saudi Arabia,Al Ahli,26
CB,69,Abdulelah Al Amri,Saudi Arabia,Al Nassr,26
CB,60,Abdulkareem Al Sultan,Saudi Arabia,Al Tai,23
CB,77,Abdülkerim Bardakçı,Turkey,Galatasaray,29
CB,63,Abdullah Al Fahad,Saudi Arabia,Al Raed,29
CB,63,Abdullah Al Hafith,Saudi Arabia,Al Wehda,30
CB,63,Abdullah Al Khatib,Saudi Arabia,Ettifaq FC,28
CB,59,Abdullah Al Shammari,Saudi Arabia,Al Hazem,30
CB,56,Abdullah Al Shanqeeti,Saudi Arabia,Al Khaleej,24
CB,67,Abdullah Madu,Saudi Arabia,Al Nassr,30
CB,57,Abdulmohsen Fallatah,Saudi Arabia,Al Tai,29
CB,59,Abdulrahman Al Dakheel,Saudi Arabia,Al Hazem,27
CB,72,Abel Luciatti,Argentina,Tigre,30
CB,64,Aboubacar Keita,United States,Colorado Rapids,23
CB,60,Aboubacar Lô,Senegal,FC Metz,23
CB,64,Abraham,Spain,Villarreal CF B,22
CB,63,Abraham Cabrera,Bolivia,Blooming,32
CB,69,Achraf Dari,Morocco,Stade Brestois 29,24
CB,67,Adam Dźwigała,Poland,FC St. Pauli,28
CB,64,Adam Jackson,England,Lincoln City,29
CB,59,Adam Long,England,Doncaster,22
CB,63,Adam Marciniak,Poland,ŁKS Łódź,35
CB,68,Adam Obert,Slovakia,Cagliari,21
CB,78,Adam Webster,England,Brighton,28
CB,55,Adam Wells,Republic of Ireland,UCD AFC,20
CB,73,Adama Soumaoro,France,Bologna,31
CB,71,Adamo Nagalo,Burkina Faso,FC Nordsjælland,21
CB,61,Aden Baldwin,England,Notts County,26
CB,68,Aden Flint,England,Mansfield Town,34
CB,73,Aderllan Santos,Brazil,Rio Ave FC,34
CB,67,Adil Demirbağ,Turkey,Konyaspor,25
CB,65,Adilson Malanda,France,Charlotte FC,21
CB,69,Adnan Kovačević,Bosnia and Herzegovina,Raków,30
CB,66,Adrián Diéguez,Spain,Jagiellonia,27
CB,57,Adrian Durrer,Switzerland,FC Lugano,22
CB,66,Adrian Gryszkiewicz,Poland,Raków,23
CB,68,Adrián Jusino,Bolivia,The Strongest,31
CB,64,Adrian Mariappa,Jamaica,Salford City,37
CB,61,Adrien Louveau,France,ŁKS Łódź,23
CB,69,Adrien Monfray,France,Grenoble Foot 38,32
CB,72,Agustín García Basso,Argentina,Independiente DV,31
CB,71,Agustín Rogel,Uruguay,Hertha Berlin,25
CB,57,Ahmad Al Habib,Saudi Arabia,Abha Club,30
CB,63,Ahmed Asiri,Saudi Arabia,Al Riyadh,31
CB,78,Ahmed Hegazi,Egypt,Al Ittihad,32
CB,54,Ahmed Longmire,United States,Nashville SC,23
CB,75,Ahmed Sharahili,Saudi Arabia,Al Ittihad,29
CB,71,Ahmed Touba,Algeria,Lecce,25
CB,66,Ahmet Gürleyen,Germany,1. FC Nürnberg,24
CB,67,Ahmetcan Kaplan,Turkey,Ajax,20
CB,69,Ahn Young Kyu,Korea Republic,GwangJu FC,33
CB,72,Aiham Ousou,Sweden,BK Häcken,23
CB,63,Aimé Mabika,Zambia,Toronto FC,25
CB,76,Aïssa Mandi,Algeria,Villarreal CF,31
CB,70,Aitor Paredes,Spain,Athletic Club,23
CB,63,Akil Wright,England,Stockport,27
CB,65,Akin Famewo,England,Sheffield Wed,24
CB,62,Akin Odimayo,England,Northampton,23
CB,66,Ákos Kecskés,Hungary,Sepsi OSK,27
CB,63,Alan García,Ecuador,Aucas,23
CB,65,Alan Matturro,Uruguay,Genoa,18
CB,65,Alan Saldivia,Uruguay,Colo-Colo,21
CB,66,Albert Acevedo,Chile,Club Magallanes,40
CB,70,Albert Vallci,Austria,FC St. Gallen,28
CB,71,Alberto Dossena,Italy,Cagliari,24
CB,61,Albian Hajdari,Switzerland,FC Lugano,20
CB,72,Alcalá,Spain,FC Cartagena,34
CB,70,Aldo Corzo,Peru,Universitario,34
CB,70,Alec Deneumostier,Peru,FBC Melgar,24
CB,69,Alejandro Donatti,Argentina,Sarmiento,36
CB,69,Alejandro Maciel,Argentina,Banfield,26
CB,68,Alejandro Rébola,Argentina,Belgrano,35
CB,65,Aleks Ławniczak,Poland,Zagłębie Lubin,24
CB,63,Aleks Petkov,Bulgaria,Śląsk Wrocław,24
CB,66,Aleksandar Andrejević,Serbia,Qingdao Hainiu,31
CB,64,Aleksandar Jovanović,Australia,Bengaluru FC,34
